"Name","Subscription Name","Amount","Account #","Contract #","Start Date","End Date","BIOS Vendor","BIOS Version","BIOS Release Date","System Manufacturer","System Product Name","Serial Number","UUID","Chassis Manufacturer","Type","Chassis Serial #","Chassis Product Name"
"auth01.example.com","Red Hat Satellite","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2011","Red Hat","KVM","Not Specified","872F0376-40CC-49DC-AA8C-18BA3082879A","NA","Other","NA","NA"
"auth02.example.com","Red Hat Satellite","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2011","Red Hat","KVM","Not Specified","7122C51A-88D0-467F-A209-415CE40CEB2E","NA","Other","NA","NA"
"capsule-1.example.com","Red Hat Satellite","1","1234567","10701773","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","5519D72F-E7E5-4922-A003-5E601EB92B29","NA","Other","NA","NA"
"devnode-102.example.com","Resilient Storage","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","E599BB11-9A9B-4D18-ABDC-0D1A432CB786","NA","Other","NA","NA"
"devnode-102.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10701774","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","E599BB11-9A9B-4D18-ABDC-0D1A432CB786","NA","Other","NA","NA"
"devnode-103.example.com","Resilient Storage","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","96891EA1-CCC2-4FF2-A30B-1AA4D03731A6","NA","Other","NA","NA"
"devnode-103.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10701774","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","96891EA1-CCC2-4FF2-A30B-1AA4D03731A6","NA","Other","NA","NA"
"devnode-104.example.com","Resilient Storage","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","996E5B0D-5F22-47E1-8624-BFD57BF86C20","NA","Other","NA","NA"
"devnode-104.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10701774","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","996E5B0D-5F22-47E1-8624-BFD57BF86C20","NA","Other","NA","NA"
"devnode-105.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10701774","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","2F8BA9FB-1AFB-4916-B27F-3AAC1A6E9EF1","NA","Other","NA","NA"
"devnode-105.example.com","Resilient Storage","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","2F8BA9FB-1AFB-4916-B27F-3AAC1A6E9EF1","NA","Other","NA","NA"
"devnode-test2.example.com","Red Hat Enterprise Linux Server with Smart Management, Standard (Physical or Virtual Nodes)","1","1234567","10010110","2015-08-05","2016-08-05","Phoenix Technologies LTD","6.00","07/30/2013","VMware, Inc.","VMware Virtual Platform","VMware-42 10 c0 66 d4 8b 4b d7-f4 ad 6e b0 cb 28 b8 67","4210C066-D48B-4BD7-F4AD-6EB0CB28B867","Intel Corporation","Other","None","NA"
"esxi02.example.com","Red Hat Enterprise Linux Developer Workstation, Professional","1","1234567","10010110","2015-08-05","2016-08-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"esxi02.example.com","Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Unlimited guests)","1","1234567","10010110","2015-08-31","2016-08-31","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"logging.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2011","Red Hat","KVM","Not Specified","7C54F8BE-BB24-4241-B98A-71D3B8A0D48A","NA","Other","NA","NA"
"rhev-hypervisor1.example.com","Red Hat Cloud Infrastructure, Premium (2-sockets)","1","1234567","10010110","2015-08-05","2016-08-05","American Megatrends Inc.","2.04","04/10/2013","Shuttle Inc.","SH67H","To be filled by O.E.M.","03000200-0400-0500-0006-000700080009","Shuttle Inc.","Desktop","4004","NA"
"rhev-hypervisor2.example.com","Red Hat Cloud Infrastructure, Premium (2-sockets)","1","1234567","10010110","2015-08-05","2016-08-05","American Megatrends Inc.","2.04","04/10/2013","Shuttle Inc.","SH67H","To be filled by O.E.M.","03000200-0400-0500-0006-000700080009","Shuttle Inc.","Desktop","4004","NA"
"rhev.example.com","Red Hat Cloud Infrastructure, Premium (2-sockets)","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2011","Red Hat","KVM","Not Specified","F4A962E8-C87B-6B69-A892-0CD98907A1AA","NA","Other","NA","NA"
"sub-man-test.example.com","Red Hat Enterprise Linux Developer Workstation, Professional","1","1234567","10010110","2015-08-05","2016-08-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"testnode-101.example.com","Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Unlimited guests)","1","1234567","10010110","2015-08-31","2016-08-31","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"virtmgmt.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","2","1234567","10010110","2015-08-05","2016-08-05","American Megatrends Inc.","V10.6","04/27/2011","MSI","MS-7623","To Be Filled By O.E.M.","00000000-0000-0000-0000-8C89A52DA606","MSI","Desktop","To be filled by O.E.M.","NA"
